Enhetsnamn;Årskurs;Kön;Skolform;År;Månad;Total schemalagd tid;Närvarande;Total frånvaro;Giltig frånvaro;Ogiltig frånvaro;Ej registrerad
Asperöskolan F-3;0;Pojke;Grundskola;2025;10;30695;24655;160;160;0;5880
Asperöskolan F-3;0;Flicka;Grundskola;2025;10;17540;14020;160;160;0;3360
Asperöskolan F-3;0;Pojke;Grundskola;2025;11;33775;24040;1405;1405;0;8330
Asperöskolan F-3;0;Flicka;Grundskola;2025;11;19300;13535;1005;1005;0;4760
Asperöskolan F-3;0;Pojke;Grundskola;2025;12;24045;18935;70;70;0;5040
Asperöskolan F-3;0;Flicka;Grundskola;2025;12;13740;10630;230;230;0;2880
Asperöskolan F-3;0;Flicka;Grundskola;2026;1;15680;11010;1190;1190;0;3480
Asperöskolan F-3;0;Pojke;Grundskola;2026;1;27440;20570;780;780;0;6090
Asperöskolan F-3;0;Pojke;Grundskola;2026;2;22505;13730;4155;4155;0;4620
Asperöskolan F-3;0;Flicka;Grundskola;2026;2;12860;8770;1450;1450;0;2640
Asperöskolan F-3;0;Pojke;Grundskola;2026;3;30030;18940;4475;4475;0;6615
Asperöskolan F-3;0;Flicka;Grundskola;2026;3;17160;12005;1375;1375;0;3780
Asperöskolan F-3;0;Pojke;Grundskola;2026;4;3255;1830;305;305;0;1120
Asperöskolan F-3;0;Flicka;Grundskola;2026;4;1860;1105;115;115;0;640
Asperöskolan F-3;1;Pojke;Grundskola;2025;8;3520;3200;0;0;0;320
Asperöskolan F-3;1;Flicka;Grundskola;2025;8;1760;1600;0;0;0;160
Asperöskolan F-3;1;Pojke;Grundskola;2025;9;9290;7510;580;580;0;1200
Asperöskolan F-3;1;Flicka;Grundskola;2025;9;4645;4045;0;0;0;600
Asperöskolan F-3;1;Flicka;Grundskola;2025;10;4205;3885;0;0;0;320
Asperöskolan F-3;1;Pojke;Grundskola;2025;10;8410;6345;1425;1425;0;640
Asperöskolan F-3;1;Pojke;Grundskola;2025;11;9200;6855;1265;1265;0;1080
Asperöskolan F-3;1;Flicka;Grundskola;2025;11;4600;4060;0;0;0;540
Asperöskolan F-3;1;Flicka;Grundskola;2025;12;3300;2970;0;0;0;330
Asperöskolan F-3;1;Pojke;Grundskola;2025;12;6600;5750;190;190;0;660
Asperöskolan F-3;1;Pojke;Grundskola;2026;1;7480;5140;1640;1640;0;700
Asperöskolan F-3;1;Flicka;Grundskola;2026;1;3740;3390;0;0;0;350
Asperöskolan F-3;1;Flicka;Grundskola;2026;2;3080;1600;1210;1210;0;270
